id,cargo_type,commodity,quantity,origin,destination_port_id,laycan_start,laycan_end,contract_preference,required_vessel_type,loading_date,discharge_deadline,priority,contract_type,freight_rate,currency,charter_duration,special_requirements,created_at
3517,Coking Coal,Semi-Soft Coking Coal,71900,"Maputo, Mozambique",2,2025-10-06,2025-10-13,Spot,Panamax,2025-10-11,2025-11-27,Normal,Spot,36.81,USD,50,Standard,2025-09-11T00:00:00Z
3518,Coking Coal,PCI Coal,66000,"Gladstone, Australia",2,2023-07-27,2023-08-03,Spot,Panamax,2023-08-02,2023-09-02,Normal,Spot,24.1,USD,30,Standard,2023-07-04T00:00:00Z
3519,Coking Coal,PCI Coal,71100,"Maputo, Mozambique",8,2025-06-20,2025-06-27,Spot,Panamax,2025-06-21,2025-08-11,Normal,Spot,38.96,USD,50,Standard,2025-06-06T00:00:00Z
3520,Coking Coal,Hard Coking Coal,61900,"Baltimore, USA",2,2021-12-21,2021-12-28,Spot,Supramax,2021-12-26,2022-02-17,Normal,Spot,37.46,USD,50,Standard,2021-11-24T00:00:00Z
3521,Coking Coal,Semi-Soft Coking Coal,27900,"Samarinda, Indonesia",6,2021-12-30,2022-01-04,Spot,Handysize,2022-01-01,2022-01-20,High,Spot,16.66,USD,20,Standard,2021-12-18T00:00:00Z
3522,Iron Ore,Iron Ore Pellets,60000,"Newcastle, Australia",8,2023-03-03,2023-03-08,CoA,Supramax,2023-03-04,2023-04-04,High,CoA,26.89,USD,30,Standard,2023-02-24T00:00:00Z
3523,Coking Coal,PCI Coal,68600,"Vostochny, Russia",3,2022-04-25,2022-04-30,CoA,Panamax,2022-04-26,2022-06-14,High,CoA,38.73,USD,50,Standard,2022-04-16T00:00:00Z
3524,Coking Coal,Hard Coking Coal,65800,"Port Hedland, Australia",2,2022-10-13,2022-10-20,CoA,Panamax,2022-10-18,2022-11-15,Normal,CoA,23.12,USD,30,Standard,2022-09-14T00:00:00Z
3525,Coking Coal,PCI Coal,154700,"Port Hedland, Australia",4,2023-05-13,2023-05-27,Spot,Capesize,2023-05-22,2023-06-21,Normal,Spot,19.8,USD,30,Standard,2023-04-21T00:00:00Z
3526,Coking Coal,PCI Coal,52800,"Baltimore, USA",3,2025-08-14,2025-08-28,Spot,Supramax,2025-08-15,2025-10-03,Normal,Spot,35.85,USD,50,Standard,2025-07-28T00:00:00Z
3527,Coking Coal,Hard Coking Coal,157400,"Port Hedland, Australia",1,2022-10-02,2022-10-07,Spot,Capesize,2022-10-03,2022-11-01,Normal,Spot,20.07,USD,30,Standard,2022-09-03T00:00:00Z
3528,Coking Coal,PCI Coal,158500,"Tanjung Priok, Indonesia",1,2024-09-23,2024-09-28,Spot,Capesize,2024-09-25,2024-10-12,Normal,Spot,14.13,USD,20,Standard,2024-09-14T00:00:00Z
3529,Thermal Coal,Indonesian High Calorie Coal,70800,"Port Hedland, Australia",2,2025-04-24,2025-05-01,CoA,Panamax,2025-04-25,2025-05-22,Normal,CoA,23.95,USD,30,Standard,2025-03-31T00:00:00Z
3530,Coking Coal,PCI Coal,60100,"Hay Point, Australia",9,2021-11-30,2021-12-07,Spot,Supramax,2021-12-05,2022-01-04,Urgent,Spot,22.26,USD,30,Standard,2021-11-22T00:00:00Z
3531,Iron Ore,Lump Ore,147300,"Hay Point, Australia",1,2022-02-22,2022-02-27,Spot,Capesize,2022-02-26,2022-03-25,Normal,Spot,19.86,USD,30,Standard,2022-02-09T00:00:00Z
3532,Coking Coal,PCI Coal,51200,"Gladstone, Australia",1,2024-08-23,2024-09-02,Spot,Supramax,2024-08-28,2024-09-25,Normal,Spot,23.91,USD,30,Standard,2024-08-14T00:00:00Z
3533,Thermal Coal,Non-Coking Coal Grade G1-G5,74400,"Balikpapan, Indonesia",2,2023-01-07,2023-01-12,Spot,Panamax,2023-01-11,2023-02-03,Normal,Spot,15.38,USD,20,Standard,2022-12-25T00:00:00Z
3534,Coking Coal,Hard Coking Coal,77500,"Tanjung Priok, Indonesia",2,2023-03-10,2023-03-15,Spot,Panamax,2023-03-12,2023-04-03,High,Spot,15.2,USD,20,Standard,2023-02-09T00:00:00Z
3535,Coking Coal,Semi-Soft Coking Coal,53800,"Balikpapan, Indonesia",6,2023-02-11,2023-02-16,CoA,Supramax,2023-02-13,2023-03-06,Normal,CoA,14.13,USD,20,Standard,2023-01-24T00:00:00Z
3536,Thermal Coal,Indonesian High Calorie Coal,79000,"Tanjung Priok, Indonesia",1,2024-01-06,2024-01-11,Spot,Panamax,2024-01-08,2024-01-26,Normal,Spot,16.23,USD,20,Standard,2023-12-30T00:00:00Z
3537,Coking Coal,PCI Coal,158700,"Samarinda, Indonesia",3,2024-10-05,2024-10-12,Spot,Capesize,2024-10-11,2024-11-02,High,Spot,9.86,USD,20,Geared vessel required,2024-09-08T00:00:00Z
3538,Limestone,SMS Grade Limestone,37200,"Maputo, Mozambique",6,2023-03-30,2023-04-04,CoA,Handysize,2023-03-31,2023-05-23,Normal,CoA,48.49,USD,50,Standard,2023-03-04T00:00:00Z
3539,Coking Coal,Hard Coking Coal,168800,"Hay Point, Australia",3,2024-06-26,2024-07-03,CoA,Capesize,2024-06-29,2024-07-30,Normal,CoA,19.78,USD,30,Standard,2024-05-29T00:00:00Z
3540,Coking Coal,PCI Coal,61200,"Port Hedland, Australia",1,2022-02-05,2022-02-15,CoA,Supramax,2022-02-07,2022-03-12,Normal,CoA,24.83,USD,30,Standard,2022-01-21T00:00:00Z
3541,Coking Coal,PCI Coal,148400,"Port Hedland, Australia",4,2024-08-12,2024-08-19,Spot,Capesize,2024-08-18,2024-09-15,Normal,Spot,22.28,USD,30,Standard,2024-07-23T00:00:00Z
3542,Thermal Coal,Indonesian High Calorie Coal,26800,"Samarinda, Indonesia",6,2021-02-08,2021-02-13,Spot,Handysize,2021-02-09,2021-03-01,Normal,Spot,16.47,USD,20,Self-unloader preferred,2021-01-22T00:00:00Z
3543,Thermal Coal,Non-Coking Coal Grade G1-G5,74800,"Newcastle, Australia",4,2021-09-29,2021-10-04,Spot,Panamax,2021-10-02,2021-10-29,Normal,Spot,26.69,USD,30,Standard,2021-09-01T00:00:00Z
3544,Coking Coal,PCI Coal,81000,"Baltimore, USA",1,2024-01-27,2024-02-10,Spot,Panamax,2024-02-04,2024-03-28,Normal,Spot,36.0,USD,50,Standard,2024-01-07T00:00:00Z
3545,Coking Coal,PCI Coal,80900,"Norfolk, USA",1,2021-07-17,2021-07-24,Spot,Panamax,2021-07-20,2021-09-08,Normal,Spot,38.57,USD,50,Standard,2021-07-10T00:00:00Z
3546,Coking Coal,Hard Coking Coal,156000,"Baltimore, USA",3,2023-10-30,2023-11-04,CoA,Capesize,2023-11-03,2023-12-24,Normal,CoA,30.27,USD,50,Standard,2023-10-19T00:00:00Z
3547,Coking Coal,PCI Coal,69200,"Balikpapan, Indonesia",3,2023-04-09,2023-04-19,Spot,Panamax,2023-04-13,2023-05-02,Normal,Spot,15.59,USD,20,Standard,2023-03-25T00:00:00Z
3548,Coking Coal,PCI Coal,57500,"Hay Point, Australia",5,2024-05-11,2024-05-18,Spot,Supramax,2024-05-15,2024-06-13,Normal,Spot,24.43,USD,30,Low moisture cargo,2024-04-13T00:00:00Z
3549,Thermal Coal,Non-Coking Coal Grade G1-G5,72500,"Maputo, Mozambique",3,2022-04-06,2022-04-13,CoA,Panamax,2022-04-07,2022-05-27,High,CoA,37.86,USD,50,Low moisture cargo,2022-03-18T00:00:00Z
3550,Thermal Coal,Non-Coking Coal Grade G1-G5,81000,"Baltimore, USA",9,2022-12-27,2023-01-06,Spot,Panamax,2023-01-05,2023-02-24,High,Spot,38.53,USD,50,Standard,2022-12-17T00:00:00Z
3551,Thermal Coal,Indonesian High Calorie Coal,61600,"Port Hedland, Australia",1,2022-11-02,2022-11-07,CoA,Supramax,2022-11-03,2022-12-05,High,CoA,25.05,USD,30,Self-unloader preferred,2022-10-04T00:00:00Z
3552,Coking Coal,Hard Coking Coal,167600,"Port Hedland, Australia",3,2021-02-03,2021-02-10,Spot,Capesize,2021-02-09,2021-03-09,Normal,Spot,18.75,USD,30,Geared vessel required,2021-01-08T00:00:00Z
3553,Coking Coal,Semi-Soft Coking Coal,59400,"Gladstone, Australia",4,2023-03-04,2023-03-14,CoA,Supramax,2023-03-06,2023-04-05,Normal,CoA,24.75,USD,30,Standard,2023-02-13T00:00:00Z
3554,Coking Coal,PCI Coal,155200,"Tanjung Priok, Indonesia",1,2024-08-07,2024-08-12,CoA,Capesize,2024-08-11,2024-08-31,High,CoA,13.59,USD,20,Standard,2024-07-16T00:00:00Z
3555,Thermal Coal,Indonesian High Calorie Coal,78500,"Port Hedland, Australia",2,2024-06-30,2024-07-05,Spot,Panamax,2024-07-02,2024-08-03,Normal,Spot,24.17,USD,30,Standard,2024-06-21T00:00:00Z
3556,Coking Coal,Semi-Soft Coking Coal,166600,"Maputo, Mozambique",4,2025-04-11,2025-04-18,Spot,Capesize,2025-04-14,2025-06-01,Normal,Spot,35.53,USD,50,Self-unloader preferred,2025-03-24T00:00:00Z
3557,Iron Ore,Iron Ore Fines 62% Fe,67500,"Gladstone, Australia",2,2021-06-22,2021-06-27,Spot,Panamax,2021-06-24,2021-07-27,Normal,Spot,22.72,USD,30,Standard,2021-05-24T00:00:00Z
3558,Limestone,Calcined Lime,72800,"Hay Point, Australia",8,2022-02-07,2022-02-21,CoA,Panamax,2022-02-17,2022-03-18,Normal,CoA,23.86,USD,30,Standard,2022-01-30T00:00:00Z
3559,Coking Coal,PCI Coal,71500,"Port Hedland, Australia",2,2023-08-23,2023-08-30,Spot,Panamax,2023-08-24,2023-09-21,Urgent,Spot,25.14,USD,30,Standard,2023-08-07T00:00:00Z
3560,Coking Coal,Semi-Soft Coking Coal,151900,"Baltimore, USA",3,2021-10-20,2021-10-30,Spot,Capesize,2021-10-26,2021-12-14,Normal,Spot,29.17,USD,50,Standard,2021-10-11T00:00:00Z
3561,Thermal Coal,Indonesian High Calorie Coal,54400,"Newcastle, Australia",3,2022-09-29,2022-10-04,Spot,Supramax,2022-10-02,2022-11-01,Normal,Spot,21.08,USD,30,Standard,2022-09-15T00:00:00Z
3562,Thermal Coal,Non-Coking Coal Grade G1-G5,81500,"Port Hedland, Australia",2,2022-11-02,2022-11-09,CoA,Panamax,2022-11-03,2022-11-30,Normal,CoA,23.86,USD,30,Standard,2022-10-23T00:00:00Z
3563,Iron Ore,Iron Ore Pellets,163900,"Hay Point, Australia",1,2023-12-26,2024-01-02,Spot,Capesize,2023-12-30,2024-01-29,Normal,Spot,21.86,USD,30,Standard,2023-12-06T00:00:00Z
3564,Iron Ore,Iron Ore Fines 62% Fe,179300,"Norfolk, USA",3,2021-05-08,2021-05-13,CoA,Capesize,2021-05-12,2021-06-28,High,CoA,34.55,USD,50,Standard,2021-04-18T00:00:00Z
3565,Coking Coal,PCI Coal,58300,"Vostochny, Russia",1,2022-06-08,2022-06-13,CoA,Supramax,2022-06-10,2022-07-27,Normal,CoA,40.93,USD,50,Standard,2022-05-12T00:00:00Z
3566,Coking Coal,Semi-Soft Coking Coal,50900,"Samarinda, Indonesia",1,2023-12-30,2024-01-06,CoA,Supramax,2023-12-31,2024-01-18,Normal,CoA,16.35,USD,20,Standard,2023-12-10T00:00:00Z
3567,Limestone,SMS Grade Limestone,76800,"Baltimore, USA",3,2025-06-02,2025-06-09,Spot,Panamax,2025-06-05,2025-07-23,Normal,Spot,38.86,USD,50,Low moisture cargo,2025-05-25T00:00:00Z
3568,Coking Coal,Hard Coking Coal,60300,"Newcastle, Australia",5,2023-07-03,2023-07-08,Spot,Supramax,2023-07-06,2023-08-05,Normal,Spot,22.95,USD,30,Fast discharge required,2023-06-16T00:00:00Z
3569,Coking Coal,PCI Coal,152700,"Samarinda, Indonesia",1,2021-12-20,2021-12-25,Spot,Capesize,2021-12-24,2022-01-16,Normal,Spot,13.66,USD,20,Standard,2021-11-26T00:00:00Z
3570,Coking Coal,Semi-Soft Coking Coal,81500,"Gladstone, Australia",2,2022-04-01,2022-04-08,Spot,Panamax,2022-04-05,2022-05-06,Normal,Spot,22.58,USD,30,Standard,2022-03-06T00:00:00Z
3571,Coking Coal,Hard Coking Coal,73700,"Newcastle, Australia",2,2022-12-12,2022-12-19,Spot,Panamax,2022-12-18,2023-01-17,Normal,Spot,22.63,USD,30,Standard,2022-12-01T00:00:00Z
3572,Coking Coal,PCI Coal,77500,"Samarinda, Indonesia",3,2023-12-05,2023-12-12,Spot,Panamax,2023-12-10,2023-12-31,High,Spot,11.09,USD,20,Standard,2023-11-15T00:00:00Z
3573,Iron Ore,Iron Ore Fines 62% Fe,144500,"Vostochny, Russia",1,2024-08-29,2024-09-05,Spot,Capesize,2024-08-30,2024-10-20,High,Spot,31.45,USD,50,Standard,2024-08-16T00:00:00Z
3574,Thermal Coal,Non-Coking Coal Grade G1-G5,75500,"Balikpapan, Indonesia",2,2024-08-31,2024-09-05,CoA,Panamax,2024-09-03,2024-09-20,Normal,CoA,12.33,USD,20,Standard,2024-08-04T00:00:00Z
3575,Coking Coal,PCI Coal,170500,"Baltimore, USA",4,2022-11-24,2022-12-01,Spot,Capesize,2022-11-28,2023-01-19,Normal,Spot,31.62,USD,50,Standard,2022-11-15T00:00:00Z
3576,Coking Coal,Hard Coking Coal,78200,"Baltimore, USA",3,2022-06-03,2022-06-10,Spot,Panamax,2022-06-08,2022-07-26,Normal,Spot,40.25,USD,50,Standard,2022-05-11T00:00:00Z
3577,Coking Coal,PCI Coal,75300,"Baltimore, USA",4,2025-04-27,2025-05-04,Spot,Panamax,2025-05-03,2025-06-20,Normal,Spot,36.43,USD,50,Standard,2025-03-31T00:00:00Z
3578,Coking Coal,PCI Coal,75600,"Hay Point, Australia",4,2025-03-01,2025-03-11,Spot,Panamax,2025-03-09,2025-04-11,Normal,Spot,25.2,USD,30,Standard,2025-02-05T00:00:00Z
3579,Coking Coal,Semi-Soft Coking Coal,155600,"Maputo, Mozambique",1,2024-03-14,2024-03-24,Spot,Capesize,2024-03-18,2024-05-10,Normal,Spot,33.52,USD,50,Standard,2024-02-19T00:00:00Z
3580,Coking Coal,Semi-Soft Coking Coal,81600,"Hay Point, Australia",2,2022-08-10,2022-08-20,Spot,Panamax,2022-08-16,2022-09-12,Urgent,Spot,22.69,USD,30,Standard,2022-08-03T00:00:00Z
3581,Coking Coal,Semi-Soft Coking Coal,80100,"Newcastle, Australia",2,2026-02-18,2026-02-25,Spot,Panamax,2026-02-22,2026-03-22,High,Spot,23.3,USD,30,Standard,2026-02-04T00:00:00Z
3582,Coking Coal,Hard Coking Coal,57500,"Baltimore, USA",6,2021-08-04,2021-08-09,Spot,Supramax,2021-08-07,2021-09-23,Normal,Spot,40.13,USD,50,Standard,2021-07-08T00:00:00Z
3583,Coking Coal,Hard Coking Coal,66600,"Gladstone, Australia",4,2022-01-19,2022-01-24,Spot,Panamax,2022-01-20,2022-02-21,Normal,Spot,24.38,USD,30,Standard,2022-01-11T00:00:00Z
3584,Coking Coal,Semi-Soft Coking Coal,76600,"Balikpapan, Indonesia",1,2023-05-30,2023-06-04,Spot,Panamax,2023-06-01,2023-06-22,Normal,Spot,15.41,USD,20,Standard,2023-05-02T00:00:00Z
3585,Thermal Coal,Non-Coking Coal Grade G1-G5,54800,"Norfolk, USA",2,2021-12-25,2022-01-04,Spot,Supramax,2022-01-01,2022-02-23,Normal,Spot,39.58,USD,50,Standard,2021-12-05T00:00:00Z
3586,Limestone,Calcined Lime,68600,"Port Hedland, Australia",1,2026-02-03,2026-02-17,Spot,Panamax,2026-02-12,2026-03-15,Normal,Spot,25.38,USD,30,Standard,2026-01-26T00:00:00Z
3587,Thermal Coal,Non-Coking Coal Grade G1-G5,67800,"Samarinda, Indonesia",1,2025-04-21,2025-04-28,Spot,Panamax,2025-04-27,2025-05-20,Urgent,Spot,16.75,USD,20,Standard,2025-03-29T00:00:00Z
3588,Coking Coal,Semi-Soft Coking Coal,79100,"Maputo, Mozambique",3,2025-10-29,2025-11-03,Spot,Panamax,2025-10-30,2025-12-20,High,Spot,41.58,USD,50,Geared vessel required,2025-10-09T00:00:00Z
3589,Coking Coal,Semi-Soft Coking Coal,75600,"Hay Point, Australia",1,2025-01-07,2025-01-17,Spot,Panamax,2025-01-11,2025-02-08,High,Spot,23.95,USD,30,Self-unloader preferred,2024-12-17T00:00:00Z
3590,Coking Coal,PCI Coal,169200,"Vostochny, Russia",1,2023-08-25,2023-09-01,Spot,Capesize,2023-08-29,2023-10-18,Normal,Spot,31.36,USD,50,Standard,2023-08-18T00:00:00Z
3591,Coking Coal,Hard Coking Coal,72300,"Port Hedland, Australia",2,2024-10-12,2024-10-17,CoA,Panamax,2024-10-14,2024-11-16,High,CoA,25.97,USD,30,Standard,2024-09-20T00:00:00Z
3592,Coking Coal,PCI Coal,80900,"Newcastle, Australia",2,2021-11-25,2021-12-05,Spot,Panamax,2021-12-01,2021-12-29,Normal,Spot,23.76,USD,30,Standard,2021-11-15T00:00:00Z
3593,Iron Ore,Lump Ore,151700,"Tanjung Priok, Indonesia",3,2023-08-03,2023-08-13,Spot,Capesize,2023-08-08,2023-08-28,Normal,Spot,12.95,USD,20,Low moisture cargo,2023-07-21T00:00:00Z
3594,Coking Coal,Semi-Soft Coking Coal,58200,"Balikpapan, Indonesia",5,2024-02-08,2024-02-15,Spot,Supramax,2024-02-09,2024-03-02,Normal,Spot,16.42,USD,20,Standard,2024-01-15T00:00:00Z
3595,Coking Coal,Hard Coking Coal,59600,"Gladstone, Australia",5,2025-10-31,2025-11-10,Spot,Supramax,2025-11-05,2025-12-02,Urgent,Spot,24.31,USD,30,Standard,2025-10-08T00:00:00Z
3596,Coking Coal,Hard Coking Coal,145500,"Balikpapan, Indonesia",1,2025-06-28,2025-07-05,CoA,Capesize,2025-07-03,2025-07-23,Normal,CoA,10.33,USD,20,Low moisture cargo,2025-06-13T00:00:00Z
3597,Coking Coal,PCI Coal,33000,"Balikpapan, Indonesia",6,2024-11-13,2024-11-20,Spot,Handysize,2024-11-19,2024-12-07,High,Spot,15.37,USD,20,Fast discharge required,2024-10-28T00:00:00Z
3598,Coking Coal,PCI Coal,70600,"Newcastle, Australia",3,2025-03-16,2025-03-26,Spot,Panamax,2025-03-22,2025-04-24,Normal,Spot,23.45,USD,30,Standard,2025-03-05T00:00:00Z
3599,Iron Ore,Iron Ore Fines 62% Fe,153400,"Tanjung Priok, Indonesia",1,2024-05-27,2024-06-01,Spot,Capesize,2024-05-29,2024-06-20,Normal,Spot,12.31,USD,20,Fast discharge required,2024-04-29T00:00:00Z
3600,Thermal Coal,Non-Coking Coal Grade G1-G5,66300,"Samarinda, Indonesia",9,2021-11-08,2021-11-15,Spot,Panamax,2021-11-09,2021-11-29,Normal,Spot,16.61,USD,20,Standard,2021-10-19T00:00:00Z
3601,Coking Coal,Semi-Soft Coking Coal,170500,"Tanjung Priok, Indonesia",1,2026-01-27,2026-02-01,Spot,Capesize,2026-01-29,2026-02-20,Normal,Spot,9.65,USD,20,Standard,2026-01-16T00:00:00Z
3602,Coking Coal,PCI Coal,66800,"Vostochny, Russia",1,2023-09-08,2023-09-15,Spot,Panamax,2023-09-14,2023-10-31,Normal,Spot,39.93,USD,50,Standard,2023-09-01T00:00:00Z
3603,Thermal Coal,Indonesian High Calorie Coal,78700,"Port Hedland, Australia",1,2021-10-31,2021-11-07,Spot,Panamax,2021-11-03,2021-12-04,High,Spot,26.02,USD,30,Standard,2021-10-10T00:00:00Z
3604,Coking Coal,PCI Coal,155000,"Maputo, Mozambique",3,2021-12-27,2022-01-06,Spot,Capesize,2021-12-31,2022-02-18,High,Spot,31.32,USD,50,Standard,2021-12-12T00:00:00Z
3605,Coking Coal,PCI Coal,68400,"Maputo, Mozambique",2,2025-05-29,2025-06-03,CoA,Panamax,2025-05-31,2025-07-19,Normal,CoA,37.04,USD,50,Standard,2025-05-18T00:00:00Z
3606,Thermal Coal,Indonesian High Calorie Coal,73100,"Maputo, Mozambique",1,2021-03-10,2021-03-17,Spot,Panamax,2021-03-11,2021-05-02,Urgent,Spot,36.7,USD,50,Standard,2021-03-02T00:00:00Z
3607,Limestone,Calcined Lime,73800,"Gladstone, Australia",2,2022-01-25,2022-01-30,Spot,Panamax,2022-01-29,2022-02-28,Normal,Spot,25.09,USD,30,Standard,2022-01-14T00:00:00Z
3608,Coking Coal,Semi-Soft Coking Coal,67100,"Port Hedland, Australia",1,2025-01-23,2025-01-30,CoA,Panamax,2025-01-24,2025-02-25,Normal,CoA,23.46,USD,30,Standard,2025-01-03T00:00:00Z
3609,Iron Ore,Iron Ore Fines 62% Fe,69700,"Gladstone, Australia",3,2025-02-15,2025-02-22,Spot,Panamax,2025-02-21,2025-03-23,Normal,Spot,25.68,USD,30,Standard,2025-01-25T00:00:00Z
3610,Iron Ore,Iron Ore Fines 62% Fe,60400,"Samarinda, Indonesia",2,2025-08-06,2025-08-20,Spot,Supramax,2025-08-09,2025-08-26,Normal,Spot,13.26,USD,20,Standard,2025-07-29T00:00:00Z
3611,Coking Coal,PCI Coal,79100,"Hay Point, Australia",1,2023-09-19,2023-09-24,Spot,Panamax,2023-09-23,2023-10-21,Normal,Spot,21.88,USD,30,Geared vessel required,2023-09-08T00:00:00Z
3612,Coking Coal,Hard Coking Coal,57400,"Maputo, Mozambique",5,2025-03-17,2025-03-22,Spot,Supramax,2025-03-18,2025-05-07,Normal,Spot,40.18,USD,50,Standard,2025-02-27T00:00:00Z
3613,Coking Coal,Semi-Soft Coking Coal,172700,"Baltimore, USA",3,2025-12-08,2025-12-15,Spot,Capesize,2025-12-10,2026-02-01,Normal,Spot,31.98,USD,50,Standard,2025-11-23T00:00:00Z
3614,Coking Coal,Hard Coking Coal,71400,"Balikpapan, Indonesia",3,2021-06-22,2021-07-06,Spot,Panamax,2021-07-03,2021-07-21,Normal,Spot,12.1,USD,20,Standard,2021-06-02T00:00:00Z
3615,Iron Ore,Iron Ore Pellets,166800,"Norfolk, USA",1,2025-02-24,2025-03-06,CoA,Capesize,2025-03-03,2025-04-22,Normal,CoA,30.62,USD,50,Fast discharge required,2025-02-03T00:00:00Z
3616,Coking Coal,Hard Coking Coal,169200,"Balikpapan, Indonesia",1,2024-06-27,2024-07-02,Spot,Capesize,2024-06-28,2024-07-20,Normal,Spot,10.63,USD,20,Self-unloader preferred,2024-06-06T00:00:00Z
3617,Coking Coal,Semi-Soft Coking Coal,149800,"Newcastle, Australia",1,2025-10-02,2025-10-07,CoA,Capesize,2025-10-04,2025-11-04,Normal,CoA,17.81,USD,30,Standard,2025-09-18T00:00:00Z
3618,Iron Ore,Iron Ore Pellets,162800,"Samarinda, Indonesia",3,2021-05-11,2021-05-18,Spot,Capesize,2021-05-14,2021-06-04,High,Spot,11.55,USD,20,Standard,2021-04-18T00:00:00Z
3619,Coking Coal,Semi-Soft Coking Coal,72400,"Maputo, Mozambique",2,2023-09-06,2023-09-20,Spot,Panamax,2023-09-18,2023-11-09,Normal,Spot,38.13,USD,50,Self-unloader preferred,2023-08-30T00:00:00Z
3620,Coking Coal,Semi-Soft Coking Coal,156500,"Tanjung Priok, Indonesia",4,2022-02-10,2022-02-17,CoA,Capesize,2022-02-12,2022-03-06,Normal,CoA,12.3,USD,20,Standard,2022-01-22T00:00:00Z
3621,Coking Coal,Hard Coking Coal,56000,"Tanjung Priok, Indonesia",1,2022-01-27,2022-02-01,Spot,Supramax,2022-01-28,2022-02-20,Urgent,Spot,13.91,USD,20,Standard,2022-01-03T00:00:00Z
3622,Coking Coal,Semi-Soft Coking Coal,168900,"Maputo, Mozambique",4,2022-09-11,2022-09-21,Spot,Capesize,2022-09-14,2022-11-01,Normal,Spot,33.66,USD,50,Standard,2022-08-22T00:00:00Z
3623,Coking Coal,PCI Coal,178700,"Gladstone, Australia",4,2022-02-06,2022-02-13,Spot,Capesize,2022-02-12,2022-03-11,Normal,Spot,20.53,USD,30,Standard,2022-01-17T00:00:00Z
3624,Thermal Coal,Non-Coking Coal Grade G1-G5,68100,"Tanjung Priok, Indonesia",2,2024-07-24,2024-07-29,CoA,Panamax,2024-07-28,2024-08-16,Normal,CoA,15.07,USD,20,Fast discharge required,2024-07-15T00:00:00Z
3625,Coking Coal,Semi-Soft Coking Coal,74400,"Balikpapan, Indonesia",1,2021-11-28,2021-12-03,Spot,Panamax,2021-11-30,2021-12-23,Normal,Spot,13.06,USD,20,Standard,2021-11-20T00:00:00Z
3626,Limestone,SMS Grade Limestone,77800,"Baltimore, USA",1,2021-11-08,2021-11-15,CoA,Panamax,2021-11-12,2021-12-30,Urgent,CoA,37.55,USD,50,Standard,2021-10-19T00:00:00Z
3627,Coking Coal,PCI Coal,146300,"Maputo, Mozambique",3,2022-03-12,2022-03-19,Spot,Capesize,2022-03-18,2022-05-07,High,Spot,33.64,USD,50,Standard,2022-02-12T00:00:00Z
3628,Coking Coal,PCI Coal,51700,"Norfolk, USA",5,2026-02-01,2026-02-11,CoA,Supramax,2026-02-04,2026-03-24,High,CoA,36.07,USD,50,Standard,2026-01-15T00:00:00Z
3629,Thermal Coal,Indonesian High Calorie Coal,50400,"Gladstone, Australia",4,2025-05-13,2025-05-18,CoA,Supramax,2025-05-17,2025-06-19,Normal,CoA,25.2,USD,30,Standard,2025-04-14T00:00:00Z
3630,Thermal Coal,Non-Coking Coal Grade G1-G5,81200,"Hay Point, Australia",2,2025-04-19,2025-04-24,CoA,Panamax,2025-04-20,2025-05-23,Normal,CoA,23.24,USD,30,Geared vessel required,2025-04-12T00:00:00Z
3631,Coking Coal,Hard Coking Coal,69000,"Vostochny, Russia",2,2022-06-30,2022-07-10,CoA,Panamax,2022-07-01,2022-08-21,Normal,CoA,40.56,USD,50,Standard,2022-06-11T00:00:00Z
3632,Coking Coal,Hard Coking Coal,57100,"Norfolk, USA",1,2022-04-28,2022-05-05,Spot,Supramax,2022-05-03,2022-06-24,Normal,Spot,39.67,USD,50,Standard,2022-04-10T00:00:00Z
3633,Thermal Coal,Indonesian High Calorie Coal,79900,"Tanjung Priok, Indonesia",3,2023-12-28,2024-01-04,Spot,Panamax,2023-12-29,2024-01-16,Normal,Spot,15.63,USD,20,Standard,2023-12-05T00:00:00Z
3634,Iron Ore,Lump Ore,82000,"Samarinda, Indonesia",2,2021-04-11,2021-04-21,Spot,Panamax,2021-04-16,2021-05-06,Normal,Spot,10.85,USD,20,Standard,2021-04-04T00:00:00Z
3635,Coking Coal,PCI Coal,27600,"Vostochny, Russia",6,2021-03-17,2021-03-27,Spot,Handysize,2021-03-23,2021-05-09,Normal,Spot,45.79,USD,50,Standard,2021-03-04T00:00:00Z
3636,Coking Coal,Hard Coking Coal,68100,"Gladstone, Australia",3,2021-10-06,2021-10-13,Spot,Panamax,2021-10-12,2021-11-14,High,Spot,21.97,USD,30,Standard,2021-09-18T00:00:00Z
3637,Iron Ore,Iron Ore Fines 62% Fe,67300,"Balikpapan, Indonesia",1,2021-09-16,2021-09-26,Spot,Panamax,2021-09-20,2021-10-13,Normal,Spot,15.79,USD,20,Standard,2021-08-20T00:00:00Z
3638,Coking Coal,Semi-Soft Coking Coal,54900,"Samarinda, Indonesia",6,2024-09-16,2024-09-21,CoA,Supramax,2024-09-18,2024-10-08,Normal,CoA,15.58,USD,20,Standard,2024-08-27T00:00:00Z
3639,Coking Coal,Semi-Soft Coking Coal,180000,"Baltimore, USA",1,2024-08-30,2024-09-13,Spot,Capesize,2024-09-09,2024-11-01,Normal,Spot,31.88,USD,50,Standard,2024-08-18T00:00:00Z
3640,Coking Coal,Semi-Soft Coking Coal,70300,"Port Hedland, Australia",1,2024-02-06,2024-02-11,Spot,Panamax,2024-02-08,2024-03-09,Normal,Spot,25.04,USD,30,Standard,2024-01-28T00:00:00Z
